query,impressions,clicks,ctr,position,actual_url,actual_title,actual_score,best_url,best_title,best_score,gap,class,probe_leak
ai video dub,1,0,0.00%,77.0,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),1.00,0.50,RIVAL_INDEXED,
beth dutton mbti,1,0,0.00%,11.0,/nano-template/mbti-yellowstone,Yellowstone MBTI Character Card Generator,0.33,/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-bethdutton,Beth Dutton — ESTJ Character MBTI Card from Yellowstone,1.00,0.67,RIVAL_UNRANKED,
brand identity prompt generator,1,0,0.00%,74.0,/topics/branding,"Branding Visual Prompts, Templates and Inspiration",0.00,/nano-template/brand-identity-moodboard-visual-system-poster/example/template-brand-identity-moodboard-visual-system-poster-crema-gelato,Crema Gelato Brand Identity,1.00,1.00,RIVAL_UNRANKED,
cristiano ronaldo,1,0,0.00%,13.0,/blog/portugal-soccer-poster-prompts,Portugal 2026 World Cup Poster Prompts: Ronaldo + Seleção AI Cinematics,0.50,/nano-template/soccer-star-comic-retro-poster-card/example/template-soccer-star-comic-retro-poster-card-cristiano-ronaldo,Cristiano Ronaldo,1.00,0.50,RIVAL_UNRANKED,
de bruyne mbti,1,0,0.00%,3.0,/nano-template/mbti-nba/example/template-mbti-nba-erling-haaland,Erling Haaland — ISTP Goal Scorer MBTI Football Card,0.33,/nano-template/mbti-generic/example/template-mbti-generic-Football-Lionel-Messi-Cristiano-Ronaldo-Kevin-De-Bruyne-Neymar-Jr,"Football Personality Comparison: Messi, Ronaldo, De Bruyne, Neymar MBTI",1.00,0.67,RIVAL_INDEXED,
derrick rose mbti,1,0,0.00%,4.0,/nano-template/mbti-nba/example/template-mbti-nba-alleniverson,Allen Iverson — ENFP Basketball Legend MBTI Card,0.33,/nano-template/mbti-nba/example/template-mbti-nba-derrickrose,Derrick Rose — INFP Dynamic Playmaker MBTI Basketball Card,1.00,0.67,RIVAL_INDEXED,
dub video,1,0,0.00%,70.0,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),1.00,0.50,RIVAL_INDEXED,
dub video with ai,1,0,0.00%,71.0,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),1.00,0.50,RIVAL_INDEXED,
dub videos for free,1,0,0.00%,118.0,/tools/video-dubbing,AI Video Dubbing Tool,0.00,/blog/how-to-dub-videos-naturally,How to Dub Videos Naturally in 2026: Fixing AI Voice Cloning Artifacts,1.00,1.00,RIVAL_INDEXED,
dub videos with ai,1,0,0.00%,65.0,/tools/video-dubbing,AI Video Dubbing Tool,0.00,/blog/how-to-dub-videos-naturally,How to Dub Videos Naturally in 2026: Fixing AI Voice Cloning Artifacts,1.00,1.00,RIVAL_INDEXED,
hinata hyuga mbti,1,0,0.00%,22.0,/nano-template/mbti-naruto,Naruto MBTI Character Card Generator,0.33,/nano-template/mbti-naruto/example/template-mbti-naruto-hinata,Hinata Hyuga — INFP Gentle Spirit MBTI Character Card,1.00,0.67,RIVAL_INDEXED,
historical era,1,0,0.00%,1.0,/blog/chinese-costume-history-infographic,Visualize Chinese Costume History with AI: From Tang Dynasty to Modern Fashion,0.00,/nano-template/costume/example/template-costume-republican-era-male-zhongshan-suit,Explore the Republican Era Male Zhongshan Suit - Historical Fashion Insight,1.00,1.00,RIVAL_UNRANKED,
how to dub videos,1,0,0.00%,61.0,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),0.50,/blog/how-to-dub-videos-naturally,How to Dub Videos Naturally in 2026: Fixing AI Voice Cloning Artifacts,1.00,0.50,RIVAL_INDEXED,
kevin de bruyne mbti,1,0,0.00%,11.0,/nano-template/mbti-generic,MBTI Character Visualization Generator,0.25,/nano-template/mbti-generic/example/template-mbti-generic-Football-Lionel-Messi-Cristiano-Ronaldo-Kevin-De-Bruyne-Neymar-Jr,"Football Personality Comparison: Messi, Ronaldo, De Bruyne, Neymar MBTI",0.75,0.50,RIVAL_INDEXED,
kevin durant mbti,1,0,0.00%,10.0,/nano-template/mbti-generic,MBTI Character Visualization Generator,0.33,/nano-template/mbti-nba/example/template-mbti-nba-kevendurant,Kevin Durant — ENFP Scoring Machine MBTI Basketball Card,1.00,0.67,RIVAL_UNRANKED,
mbti character maker,1,0,0.00%,4.0,/blog/mbti-character-generator,Random MBTI Generator: Spin Any of the 16 Types,0.50,/nano-template/mbti-naruto,Naruto MBTI Character Card Generator,1.00,0.50,RIVAL_INDEXED,
mbti lamine yamal,1,0,0.00%,9.0,/blog/footballer-mbti-types,Footballer MBTI Types: The Personalities of World Cup 2026's Biggest Stars,0.33,/nano-template/mbti-nba/example/template-mbti-nba-lamine-yamal,Lamine Yamal MBTI: ESFP Personality Card (Sports Star Style),1.00,0.67,RIVAL_INDEXED,
mbti naruto,1,0,0.00%,2.0,/nano-template/mbti-generic,MBTI Character Visualization Generator,0.50,/nano-template/mbti-naruto,Naruto MBTI Character Card Generator,1.00,0.50,RIVAL_INDEXED,
mbti neymar,1,0,0.00%,9.0,/blog/footballer-mbti-types,Footballer MBTI Types: The Personalities of World Cup 2026's Biggest Stars,0.50,/nano-template/mbti-nba/example/template-mbti-nba-neymarjr,Neymar Jr — ESFP Football Star MBTI Card,1.00,0.50,RIVAL_UNRANKED,
prompt for argentina fans,1,0,0.00%,80.0,/blog/world-cup-2026-ai-prompt-hub,World Cup 2026 AI Prompt Hub: Cinematic Poster Prompts for All 11 Top Nations,0.00,/blog/brazil-argentina-soccer-poster-prompts,Brazil & Argentina 2026 World Cup Poster Prompts: Squad + Fans Tributes,1.00,1.00,RIVAL_INDEXED,
stephen curry mbti,1,0,0.00%,16.0,/nano-template/mbti-nba,MBTI NBA Basketball Card Generator,0.33,/nano-template/mbti-nba/example/template-mbti-nba-stephencurry,Stephen Curry — ENFP Playmaker MBTI Basketball Card,1.00,0.67,RIVAL_UNRANKED,
