Country,Clicks,Impressions,CTR,Position
lca,0,11,0.00%,8.2
lie,0,6,0.00%,10.3
lso,0,12,0.00%,7.1
lux,0,92,0.00%,8.5
mac,0,46,0.00%,6.6
maf,0,10,0.00%,8.0
mco,0,1,0.00%,9.0
mda,0,76,0.00%,9.3
mli,0,14,0.00%,8.9
moz,0,56,0.00%,8.7
mrt,0,45,0.00%,9.9
mtq,0,22,0.00%,8.9
mwi,0,23,0.00%,9.2
myt,0,1,0.00%,3.0
nam,0,18,0.00%,8.0
ner,0,7,0.00%,8.4
plw,0,3,0.00%,8.3
pri,0,249,0.00%,9.4
prk,0,2,0.00%,10.5
pyf,0,3,0.00%,10.7
reu,0,8,0.00%,9.1
rwa,0,122,0.00%,9.1
sdn,0,81,0.00%,9.7
sle,0,46,0.00%,8.8
smr,0,2,0.00%,13.0
som,0,88,0.00%,8.9
ssd,0,10,0.00%,9.6
stp,0,4,0.00%,9.5
sur,0,66,0.00%,8.5
svn,0,123,0.00%,7.7
swz,0,6,0.00%,7.0
sxm,0,3,0.00%,6.0
syc,0,26,0.00%,7.2
tca,0,1,0.00%,9.0
tcd,0,10,0.00%,9.3
tgo,0,34,0.00%,8.7
tjk,0,148,0.00%,9.4
tkm,0,14,0.00%,6.9
tls,0,41,0.00%,8.4
tto,0,193,0.00%,9.0
vct,0,11,0.00%,9.2
vgb,0,1,0.00%,10.0
vir,0,4,0.00%,7.5
wsm,0,2,0.00%,6.5
xkk,0,26,0.00%,6.9
zwe,0,62,0.00%,7.7
zzz,0,6,0.00%,16.5
